Filename,Samples,Features
acute-inflammation.csv,120,6
acute-nephritis.csv,120,6
balloons.csv,16,4
bank.csv,4521,16
blood.csv,748,4
breast-cancer.csv,286,9
breast-cancer-wisc.csv,699,9
breast-cancer-wisc-diag.csv,569,30
breast-cancer-wisc-prog.csv,198,33
chess-krvkp.csv,3196,36
congressional-voting.csv,435,16
conn-bench-sonar-mines-rocks.csv,208,60
connect-4.csv,67557,42
credit-approval.csv,690,15
cylinder-bands.csv,512,35
echocardiogram.csv,131,10
fertility.csv,100,9
haberman-survival.csv,306,3
heart-hungarian.csv,294,12
hepatitis.csv,155,19
ilpd-indian-liver.csv,583,9
ionosphere.csv,351,33
magic.csv,19020,10
mammographic.csv,961,5
miniboone.csv,130064,50
molec-biol-promoter.csv,106,57
mushroom.csv,8124,21
musk-1.csv,476,166
musk-2.csv,6598,166
oocytes_merluccius_nucleus_4d.csv,1022,41
oocytes_trisopterus_nucleus_2f.csv,912,25
ozone.csv,2536,72
parkinsons.csv,195,22
pima.csv,768,8
pittsburg-bridges-T-OR-D.csv,102,7
planning.csv,182,12
ringnorm.csv,7400,20
spambase.csv,4601,57
statlog-australian-credit.csv,690,14
statlog-german-credit.csv,1000,24
statlog-heart.csv,270,13
tic-tac-toe.csv,958,9
titanic.csv,2201,3
trains.csv,10,29
twonorm.csv,7400,20
vertebral-column-2clases.csv,310,6
